text,spam
"Subject: this free 7 - day trial will prove that you can get ready for the beach .  if you wish to unsubscribe click  here  or write to ultima group , inc . 1380 garnet avenue , e 520 san diego , ca 92109  nbtnsbpa",1
"Subject: followup from iris mack  hi ,  thank you for your email . i am indeed interested in exploring  opportunities in your group - research ( quantitative modeling ) .  just a note to let you know that i am not in the pure quantitative  research  group here at bnp paribas - but in the derivatives structured products . i do  some of my own modeling and basic excel programming . i used to do a lot of  fortran programming . however , i am not a very good c / c + + programmer .  hope this gives you further details about my skills and interests .  thank you ,  iris  in  iris ,  at this point it ' s my group : research , i . e . quantitative modeling .  please , let me know what your interests are and i shall try to line up  other groups for the interview .  vince  iris . mack @ bnpparibas . com on 06 / 09 / 2000 02 : 33 : 50 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 10 ] : greetings from london ( to enron )  hi ,  i will be out of the country until wednesday afternoon - london time .  maybe we can chat then .  also , could you please tell me about the group ( s ) that are interested  in  speaking with me .  thanks ,  iris  internet  from : vince . j . kaminski @ enron . com on 06 / 06 / 2000 20 : 31 gmt  to : iris mack  cc : vince . j . kaminski  bcc :  subject : re : re [ 8 ] : greetings from london ( to enron )  iris ,  leaving for ca in a few minutes . i shall get back to you monday .  vince  iris . mack @ bnpparibas . com on 06 / 06 / 2000 10 : 36 : 46 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 8 ] : greetings from london ( to enron )  hi ,  thanks for your email . begining of july - what about july 4 th week ?  could you give me a bit more info regarding the best days for you and  your  colleagues .  thanks ,  iris  internet  from : vince . j . kaminski @ enron . com on 06 / 06 / 2000 14 : 29 gmt  to : iris mack  cc : vince . j . kaminski  bcc :  subject : re : re [ 6 ] : greetings from london ( to enron )  iris ,  the beginning of july would be better for us . please , let me know what  is your availability .  vince  iris . mack @ bnpparibas . com on 06 / 06 / 2000 02 : 30 : 49 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 6 ] : greetings from london ( to enron )  hi ,  thank you for your email . how many days do we need ?  i have checked my calendar . and think that i should be able to come on  monday june 19 th ( tuesday june 20 th - if you need more than one day ) . .  i can fly from london to houston during the following weekend to  arrive in  time for monday morning .  let me know if these days are good for you and your colleagues .  regards ,  iris  internet  from : vince . j . kaminski @ enron . com on 25 / 05 / 2000 18 : 33 gmt  to : iris mack  cc : vince . j . kaminski  bcc :  subject : re : re [ 4 ] : greetings from london ( to enron )  iris ,  we can invite you for an interview to houston .  what would be a the time for you ?  vince  iris . mack @ bnpparibas . com on 05 / 25 / 2000 11 : 32 : 04 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 4 ] : greetings from london ( to enron )  hi ,  thank you for your prompt response . i am interested in any contacts  you  may have in your rolodex .  also , i would be opened to talk to enron as well . please let me know  more  details .  kind regards ,  iris  internet  from : vince . j . kaminski @ enron . com on 25 / 05 / 2000 16 : 19 gmt  to : iris mack  cc : vince . j . kaminski , stinson . gibner , grant . masson ,  pinnamaneni . krishnarao ,  vasant . shanbhogue  bcc :  subject : re : re [ 2 ] : greetings from london ( to enron )  iris ,  i shall go through my rolodex and try to find some good leads for you . i  left  investment banking 8 years ago and this field changes very fast .  alternatively , would you be interested in a company like enron  or another energy company in houston ?  please , let me know .  vince  iris . mack @ bnpparibas . com on 05 / 25 / 2000 09 : 20 : 01 am  to : vince . j . kaminski @ enron . com  cc :  subject : re [ 2 ] : greetings from london ( to enron )  hi ,  how are you ? thank you kindly for your email . sorry i have not  responded  sooner .  currently i am working in derivatives structured products and risk  management at bnp paribas in london . although i currently enjoy living and  working in london , i may need to return to the states - because of my  mother ' s  failing health .  do you know of any good contacts at investment banks that i may  forward my  details to ?  for your information , i have attached my cv . ( please see attached  file :  iris marie mack . doc ) .  thank you in advance for your time and consideration .  kind regards ,  iris mack  44 ( 0 ) 20 7595 8665 ( work )  44 ( 0 ) 20 7229 9986 ( home )  ( see attached file : iris marie mack . doc )  internet  from : vince . j . kaminski @ enron . com on 04 / 04 / 2000 15 : 03 gmt  to : iris mack  cc : vince . j . kaminski  bcc :  subject : re : greetings from london ( to enron )  iris ,  please , feel free to give me a call when you have a few minutes .  i shall be glad to chat with you .  vince  iris . mack @ paribas . com on 03 / 30 / 2000 02 : 24 : 27 am  to : vkamins @ enron . com  cc : denis . autier @ paribas . com  subject : greetings from london ( to enron )  dear dr . kaminski ,  how are you ? it was nice to meet you at the real options conference  in  nyc .  i was intrigued by some of the comments in your conference talk . in  particular , by your use of real options to hedge financial options . this  is  something i am interested in as well .  when you have some time , could we chat about this topic in a bit more  detail ?  thanks for your time and consideration . hope to hear from you soon .  regards ,  iris mack  - - - - - - - - - - - - - - - -  this message is confidential ; its contents do not constitute a  commitment by bnp paribas group * except where provided  for in a written agreement between you and bnp paribas group * .  any unauthorised disclosure , use or dissemination , either  whole or partial , is prohibited . if you are not the intended  recipient of the message , please notify the sender immediately .  * bnp paribas group is a trading name of bnp sa and paribas sa  ce message est confidentiel ; son contenu ne represente en  aucun cas un engagement de la part du groupe bnp paribas *  sous reserve de tout accord conclu par ecrit entre vous et le  groupe bnp paribas * . toute publication , utilisation ou diffusion ,  meme partielle , doit etre autorisee prealablement . si vous n ' etes  pas destinataire de ce message , merci d ' en avertir immediatement  l ' expediteur .  * le groupe bnp paribas est le nom commercial utilise par bnp sa et paribas  sa  ( see attached file : iris marie mack . doc )  ( see attached file : iris marie mack . doc )  ( see attached file : iris marie mack . doc )  ( see attached file : iris marie mack . doc )  ( see attached file : iris marie mack . doc )  - iris marie mack . doc",0
"Subject: make your rivals envy  lt is really hard to recollect a company : the  market is full of sugqestions and the information isoverwhelminq ; but a good  catchy logo , stylish statlonery and outstandlng webslte  wiii make the task much easier .  we do not promise that having ordered a iogo your  company wili automaticaiiy become a worid ieader : it isquite ciear that  without qood products , effective business organization and practicable aim it  will be hotat nowadays market ; but we do promise that your marketing efforts  will become much more effective . here is the list of clear  benefits : creativeness : hand - made , original logos , specially done  to reflect your distinctive company image . convenience : logo and stationery  are provided in all formats ; easy - to - use content management system letsyou  change your website content and even its structure . promptness : you  will see logo drafts within three business days . affordability : your  marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction  guaranteed : we provide unlimited amount of changes with no extra fees for you to  be surethat you will love the result of this collaboration . have a look at our  portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: re : telephone interview with the enron corp . research group  marshall :  thanks for responding so quickly . i have scheduled the following interview :  wednesday , december 6 - 1 : 00 pm houston time . it will last approximately  1 hour . we will call you at ( 605 ) 497 - 4045 unless otherwise instructed .  if you have any questions , please feel free to contact me at 713 / 853 - 5290 .  best regards ,  shirley crenshaw  "" jingming ' marshall ' yan "" on 11 / 28 / 2000 12 : 59 : 55 pm  to : shirley . crenshaw @ enron . com  cc : vince . j . kaminski @ enron . com  subject : re : telephone interview with the enron corp . research group  ms . crenshaw ,  thank you very much for the message . i am very interested in the  opportunity to talk to personnel from the research group at enron . between  the two days you suggest , i prefer wednesday 12 / 6 . considering the  two - hour time difference between california and texas , 11 : 00 am pacific  time ( 1 : 00 pm your time ) seems to be a good slot . however , i am open most  of the day on 12 / 6 so if some other time slot is prefered on your end ,  please let me know .  thanks again . i look forward to talking to you and your  colleagues .  jingming  on tue , 28 nov 2000 shirley . crenshaw @ enron . com wrote :  > good afternoon jingming :  >  > professor wolak forwarded your resume to the research group , and  > they would like to conduct a telephone interview with you , sometime next  > week , at your convenience . the best days would be tuesday , 12 / 5 or  > wednesday , 12 / 6 .  >  > please let me know which day and what time would be best for you and  > they will call you . let me know the telephone number that you wish to be  > contacted at .  >  > the interviewers would be :  >  > vince kaminski managing director and head of research  > vasant shanbhogue vice president , research  > lance cunningham manager , research  > alex huang manager , research  >  > look forward to hearing from you .  >  > best regards ,  >  > shirley crenshaw  > administrative coordinator  > enron research group .  > 713 - 853 - 5290  >  >  >  jingming "" marshall "" yan jmyan @ leland . stanford . edu  department of economics ( 650 ) 497 - 4045 ( h )  stanford university ( 650 ) 725 - 8914 ( o )  stanford , ca 94305 358 c , economics bldg  if one seeks to act virtuously and attain it , then what is  there to repine about ? - - confucius  _ ? oo ? ? ooo ? ? t  xo - ? ? - -  ? ?",0
"Subject: a 1 time charge add your property / services no additional annual  membership fees to our vacation guide  our vacation requests have grown in your region . we are offering this special membership . a 1 time setup fee no additional annual charges .  your membership includes all of this . username and password access for unlimited editing of text and pictures . 4 color pictures . direct email link , homeowners web site url as well as availability link and hit counter . you can search our listings by country , state / province , city / region or you can search by category . your price is $ 85 . 00 this membership is good for as long as you own the property . no additional charges or fees . "" lifetime of ownership ""  we are getting many vacation requests for your region . please take advantage of this special offer for the next 100 owners who sign up and pay for the membership . you can see our site . http : / / www . . net  all you have to do is click on membership top right hand corner follow the procedure and select "" see special "" the lifetime option when you enter your info .  if you have any questions . info @ . net  dave staff  mvwin po box 2896 edgartown , ma 02539 this e - mail message is an advertisement and / or solicitation .",1
"Subject: re : uk portfolios and books setup in risktrac  david and vince ,  in my e - mail below i pointed out to a inconsistency in the portfolio  hierarchy for uk positions in risktrac that i found out ,  namely : some books ( for example elsb 1 and elsb 2 ) belong to uk - gas portfolio  and to uk - power portfolio .  i wanted to clarify this in order to reconcile positions in risktrac and in  the spreadsheet .  tanya .  tanya tamarchenko  01 / 03 / 2001 02 : 09 pm  to : naveen andrews / corp / enron @ enron , matthew adams / corp / enron @ enron  cc : rabi de / na / enron @ enron , jaesoo lew / na / enron @ enron , vince j  kaminski / hou / ect @ ect  subject : re : uk portfolios and books setup in risktrac  naveen and matthew ,  i started looking systematically through uk positions and corresponding var  numbers in the risckrac .  i found a few inconsistencies so far .  1 . the portfolio elsb 1 - nbp has a book elsb 1 under it . the sum of delta  positions for this book is  239 , 021 , 655 , the sum of gamma positions is - 211 , 031 , 450 . var for the  portfolio elsb 1 - nbp is zero .  the same refers to a few other portfolios , for example elsb 2 - nbp , elsb 3 - nbp ,  e 2 xxl - nbp .  2 . the portfolio elsbp 1 - ppp also has the book elsb 1 under it . this book  contains the positions on pppwdl  through pppwd 6 and pppwel through pppwe 4 .  the same refers to the other books , for example elsb 2 .  this looks messy . can someone in rac go over all the portfolios , all the  corresponding books and curves  in risktrac and make sure they are set up properly ?  thank you ,  tanya .",0
"Subject: ctfg trends upward as company begins rollout of acquisition strategy  otc quickstats  june 29 , 2005  at a glance  ticker symbol : ctfg  sector : title insurance  industry : financial services  current price : $ 0 . 39  shares outstanding : 45 , 457 , 200  approx . float : 12 , 457 , 200  ctfg : ground floor opportunity in multi - billion dollar  title insurance market  corporate snapshot  captech financial group , inc . , is a florida corporation headquartered in lighthouse pt . , florida that trades under the symbol ( otcbb : ctfg ) .  captech financial group , inc . , via its new acquisition of national security title agencies , llc . , ( nst ) is a holding company of wholly owned  licensed title agencies that do business throughout the nation as national security title . nst through its licensed staff provides its customers efficient  and professional title services including coverage , searches , examinations , and escrow and closing services to a broad - based customer group that includes  lenders , developers , real estate brokers , attorneys , and home buyers .  recent news ! ! ! !  lighthouse point , fla . , june 28 ( prnewswire - firstcall ) - - captech financial group , inc .  ( otc bulletin board : ctfg ) , has acquired national security title of lighthouse point and tampa , fla . ,  respectively . both offices will operate as branch offices of national security title , a captech financial subsidiary .  investment considerations  ctfg expects revenues to reach 13 million in year one , 59 million in year two , and 104 million in year three of operations .  ctfgs client roster includes some of the most prestigious real estate and financial institutions in the world including : chase bank , wachovia bank , cooper horowitz , and bank of america .  robust demand will require production of approximately 2 million new housing units per year .  the home ownership rate will exceed 70 % by the year 2013 .  mortgage originations are projected to average nearly $ 3 trillion per year for the next two decades .  ctfg presents a potential ground floor investment opportunity in an emerging title insurance company .  visit the ctfg websites at :  www . . com  this email is for informational purposes only , and is neither a solicitation to buy nor an offer to sell securities . all assembled information within is subject to change without notice . the assembled information within this email is based on public information supplied by the company or from other sources believed to be reliable , but no representation , expressed or implied , is made as to its accuracy , completeness or correctness . information in this email may contain forward looking statements as defined under section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . an example of forward - looking information are statements relating to the future capital expenditures , future funding sources , anticipated sales growth , and potential contracts . these and similar forward statements are subject to a number of known and unknown risks and uncertainties outside our local control that could cause actual operations or results to differ materially from those anticipated . power house promotions accepts no liability for any losses arising from an investor ' s reliance on or use of this report . this assembled information is for informative purposes and is not intended to be used as the sole source of information on a company . always do your own due diligence and consult a financial advisor . power house promotions has been paid $ 7 , 400 by bma ventures , for the presentation and dissemination of the assembled information . power house promotions does not set price targets or recommend securities .  power house promotions 1846 e . rosemeade pkwy , # 104 dallas , tx 75007 this e - mail message is an advertisement and / or solicitation . ",1
"Subject: failure notice  this is the mail delivery agent at messagelabs . com .  i was not able to deliver your message to the following addresses .  :  144 . 189 . 100 . 102 does not like recipient .  remote host said : 550 5 . 0 . 0 . . . host down  - - - below this line is a copy of the message .  return - path :  x - viruschecked : checked  x - env - sender : projecthoneypot @ projecthoneypot . org  x - msg - ref : server - 3 . tower - 115 . messagelabs . com ! 1121770867 ! 6986571 ! 1  x - starscan - version : 5 . 5 . 4 . 1 ; banners = - , - , -  x - originating - ip : [ 221 . 9 . 132 . 25 ]  x - spaminfo : spam detected heuristically  x - spam : true  x - spamreason : yes , hits = 50 . 0 required = 7 . 0 tests = spam signature :  spam . health . 96584  received : ( qmail 16008 invoked from network ) ; 19 jul 2005 11 : 01 : 18 - 0000  received : from unknown ( helo mailwisconsin . com ) ( 221 . 9 . 132 . 25 )  by server - 3 . tower - 115 . messagelabs . com with smtp ; 19 jul 2005 11 : 01 : 18 - 0000  received : from 205 . 214 . 42 . 66  ( squirrelmail authenticated user projecthoneypot @ projecthoneypot . org ) ;  by mailwisconsin . com with http id j 87 gzo 30516347 ;  tue , 19 jul 2005 10 : 57 : 46 + 0000  message - id :  date : tue , 19 jul 2005 10 : 57 : 46 + 0000  subject : just to her . . .  from : "" barry castillo ""  to : antonio _ silva @ br . css . mot . com  user - agent : squirrelmail / 1 . 4 . 3 a  x - mailer : squirrelmail / 1 . 4 . 3 a  mime - version : 1 . 0  content - type : text / html ; charset = iso - 8859 - 1  content - transfer - encoding : 8 bit  x - priority : 3 ( normal )  importance : normal  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivabie !  this email has been scanned by the messagelabs email security system .  for more information please visit http : / / www . messagelabs . com / email ",1
"Subject: professional advertising  dear projecthoneypot @ projecthoneypot . org :  we offer email marketing with best services .  1 . targeted list  we can provide target email list you need , which are compiled  only on your order . we will customize your client list .  * we have millions of lists in many categories .  2 . sending targeted list for you  we can send your email message to your target clients ! we will  customize your email list and send your ad for you .  * we also offer hosting & mailing server .  regards !  steve  marketing team  kzl 789 @ 56 . com  no and bye : bpserver @ hotmail . com",1
Subject: erectile dysfunction ruining your sex life ?  multiple male orgasms  more info here  breakup plp credulity aph irreplaceable ns faust lag  bilinear xyu reveal kbv altar lmt embedder jze mission cz caviar xv  precious zex clamorous yz offertory pqe polemic gb filth rb cozen bh dun tqz cosy cfb  no ,1
